Symbol,SubMitoLocalization_raw,MitoPathway_raw,SubMitoLocalization,MitoPathway
BOLA1,Matrix,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis | Metabolism > Metals and cofactors > Fe-S-containing proteins,Matrix,Metabolism > Metals and cofactors > Fe-S-containing proteins
ALAS2,Matrix,Metabolism > Metals and cofactors > Heme synthesis and processing,Matrix,Metabolism > Metals and cofactors > Heme synthesis and processing
GRPEL2,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",Matrix,Protein import
GRPEL2,Matrix,"Protein import, sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis",Matrix,sorting and homeostasis > Protein import and sorting > Import motor | Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
ALDH7A1,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism
ALDH7A1,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,Matrix,Metabolism > Amino acid metabolism > Glycine metabolism
ALDH7A1,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,Matrix,Metabolism > Vitamin metabolism > Choline and betaine metabolism
ALDH7A1,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
ALDH7A1,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Metabolism > Detoxification > ROS and glutathione metabolism,Matrix,Metabolism > Detoxification > ROS and glutathione metabolism
HDHD5,Matrix,0,Matrix,0
GFER,IMS,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40",IMS,Protein import
GFER,IMS,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40",IMS,sorting and homeostasis > Protein import and sorting > MIA40
IMMP2L,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,Protein import
IMMP2L,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import
IMMP2L,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,sorting and homeostasis > Protein homeostasis > Proteases
COX4I2,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
COX4I2,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MRPL39,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
AADAT,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism
FUNDC2,MOM,Mitochondrial dynamics and surveillance > Organelle contact sites | Signaling,MOM,Mitochondrial dynamics and surveillance > Organelle contact sites
FUNDC2,MOM,Mitochondrial dynamics and surveillance > Organelle contact sites | Signaling,MOM,Signaling
LYPLA1,unknown,Metabolism > Lipid metabolism | Signaling,unknown,Metabolism > Lipid metabolism
LYPLA1,unknown,Metabolism > Lipid metabolism | Signaling,unknown,Signaling
PDHA2,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism,Matrix,Metabolism > Carbohydrate metabolism > Pyruvate metabolism
MTRF1L,Matrix,Mitochondrial central dogma > Translation > Translation factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
GTPBP3,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
GTPBP3,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
MTHFD2L,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
YME1L1,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,Protein import
YME1L1,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,sorting and homeostasis > Protein homeostasis > Proteases
ACOT2,Matrix,Metabolism > Lipid metabolism,Matrix,Metabolism > Lipid metabolism
COA8,MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex IV > CIV assembly factors
COA8,MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
MMAB,Matrix,Metabolism > Vitamin metabolism > Vitamin B12 metabolism,Matrix,Metabolism > Vitamin metabolism > Vitamin B12 metabolism
PPOX,MIM,Metabolism > Metals and cofactors > Heme synthesis and processing,MIM,Metabolism > Metals and cofactors > Heme synthesis and processing
ABCD3,Membrane,Small molecule transport > ABC transporters,Membrane,Small molecule transport > ABC transporters
SIRT3,Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Signaling,Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
SIRT3,Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism | Signaling,Matrix,Signaling
LDHD,MIM,Metabolism > Carbohydrate metabolism,MIM,Metabolism > Carbohydrate metabolism
MRPL45,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
C12orf65,Matrix,Mitochondrial central dogma > Translation > Translation factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
IMMP1L,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,Protein import
IMMP1L,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import
IMMP1L,MIM,"Protein import, sorting and homeostasis > Protein import and sorting > Preprotein cleavage | Protein import, sorting and homeostasis > Protein homeostasis > Proteases",MIM,sorting and homeostasis > Protein homeostasis > Proteases
POLG,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication
POLG,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid
POLG,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA nucleoid | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair,Matrix,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair
ATPAF1,Matrix,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > Complex V > CV assembly factors
ATPAF1,Matrix,OXPHOS > Complex V > CV assembly factors | OXPHOS > OXPHOS assembly factors,Matrix,OXPHOS > OXPHOS assembly factors
BLOC1S1,unknown,Signaling,unknown,Signaling
ALDH1L2,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
COX18,MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex IV > CIV assembly factors
COX18,MIM,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
CPOX,MIM,Metabolism > Metals and cofactors > Heme synthesis and processing,MIM,Metabolism > Metals and cofactors > Heme synthesis and processing
NNT,MIM,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,MIM,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
NDUFAF8,IMS,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > Complex I > CI assembly factors
NDUFAF8,IMS,OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors,IMS,OXPHOS > OXPHOS assembly factors
ATP23,IMS,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",IMS,Protein import
ATP23,IMS,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",IMS,sorting and homeostasis > Protein homeostasis > Proteases
DCAKD,Membrane,0,Membrane,0
ATP5MF,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex V > CV subunits
ATP5MF,MIM,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
SFXN3,MIM,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins,MIM,Metabolism > Amino acid metabolism > Serine metabolism
SFXN3,MIM,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins,MIM,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
SFXN3,MIM,Metabolism > Amino acid metabolism > Serine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > Sideroflexins,MIM,Small molecule transport > Sideroflexins
AASS,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism,Matrix,Metabolism > Amino acid metabolism > Lysine metabolism
DIABLO,IMS,Mitochondrial dynamics and surveillance > Apoptosis,IMS,Mitochondrial dynamics and surveillance > Apoptosis
COX8C,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
COX8C,MIM,OXPHOS > Complex IV > CIV subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
PXMP2,MIM,0,MIM,0
AGXT2,Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism,Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism
GLS2,Matrix,Metabolism > Amino acid metabolism > Glutamate metabolism,Matrix,Metabolism > Amino acid metabolism > Glutamate metabolism
APOO,MIM,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,MIM,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
ACAD11,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation
C5orf63,Matrix,0,Matrix,0
HOGA1,Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism,Matrix,Metabolism > Amino acid metabolism > Glyoxylate metabolism
TTC19,MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > Complex III > CIII assembly factors
TTC19,MIM,OXPHOS > Complex III > CIII assembly factors | OXPHOS > OXPHOS assembly factors,MIM,OXPHOS > OXPHOS assembly factors
NGRN,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
NGRN,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications | Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome assembly
TCAIM,Matrix,0,Matrix,0
GCSH,Matrix,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,Matrix,Metabolism > Lipid metabolism > Lipoate insertion
GCSH,Matrix,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,Matrix,Metabolism > Amino acid metabolism > Glycine metabolism
GCSH,Matrix,Metabolism > Lipid metabolism > Lipoate insertion | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,Matrix,Metabolism > Amino acid metabolism > Glycine cleavage system
SIRT5,Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,Matrix,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
GPT2,Matrix,Metabolism > Amino acid metabolism > Glutamate metabolism,Matrix,Metabolism > Amino acid metabolism > Glutamate metabolism
TOMM6,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",MOM,Protein import
TOMM6,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",MOM,sorting and homeostasis > Protein import and sorting > TOM
FAM162A,MIM,0,MIM,0
ABCB6,MOM,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters,MOM,Metabolism > Metals and cofactors > Heme synthesis and processing
ABCB6,MOM,Metabolism > Metals and cofactors > Heme synthesis and processing | Small molecule transport > ABC transporters,MOM,Small molecule transport > ABC transporters
MACROD1,Matrix,Signaling,Matrix,Signaling
TST,Matrix,Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Sulfur metabolism,Matrix,Metabolism > Detoxification > Xenobiotic metabolism
TST,Matrix,Metabolism > Detoxification > Xenobiotic metabolism | Metabolism > Sulfur metabolism,Matrix,Metabolism > Sulfur metabolism
MT-CO1,MIM,OXPHOS > Complex IV > CIV subunits | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex IV > CIV subunits
MT-CO1,MIM,OXPHOS > Complex IV > CIV subunits | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,Metabolism > Metals and cofactors > Heme-containing proteins
MT-CO1,MIM,OXPHOS > Complex IV > CIV subunits | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MTFR1L,unknown,0,unknown,0
SDR39U1,unknown,0,unknown,0
DMGDH,Matrix,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Amino acid metabolism > Glycine metabolism
DMGDH,Matrix,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Choline and betaine metabolism
DMGDH,Matrix,Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
SLC25A14,MIM,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Sulfur metabolism
SLC25A14,MIM,Metabolism > Sulfur metabolism | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
PRELID3A,IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis
PRELID3A,IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,IMS,Metabolism > Lipid metabolism > Phospholipid metabolism
CHCHD5,IMS,0,IMS,0
TOMM70,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",MOM,Protein import
TOMM70,MOM,"Protein import, sorting and homeostasis > Protein import and sorting > TOM",MOM,sorting and homeostasis > Protein import and sorting > TOM
NIT1,Matrix,Metabolism > Detoxification > ROS and glutathione metabolism,Matrix,Metabolism > Detoxification > ROS and glutathione metabolism
FAHD1,Matrix,Metabolism > Carbohydrate metabolism > TCA-associated,Matrix,Metabolism > Carbohydrate metabolism > TCA-associated
MCU,MIM,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter,MIM,Signaling > Calcium homeostasis > Calcium cycle
MCU,MIM,Signaling > Calcium homeostasis > Calcium cycle | Small molecule transport > Calcium uniporter,MIM,Small molecule transport > Calcium uniporter
CYP27A1,MIM,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins",MIM,Metabolism > Lipid metabolism > Cholesterol
CYP27A1,MIM,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins",MIM,bile acid
CYP27A1,MIM,"Metabolism > Lipid metabolism > Cholesterol, bile acid, steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins",MIM,steroid synthesis | Metabolism > Metals and cofactors > Heme-containing proteins
MT-ND2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
MT-ND2,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MT-ND4,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
MT-ND4,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
MT-ND5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > Complex I > CI subunits
MT-ND5,MIM,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,MIM,OXPHOS > OXPHOS subunits
DELE1,MIM,Signaling,MIM,Signaling
FASTKD1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
FASTKD1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,Matrix,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
FASTKD1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
MRPS31,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome,Matrix,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ALDH1L1,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism,Matrix,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
PTCD1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules,Matrix,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules
HADHB,MIM,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,MIM,Metabolism > Carbohydrate metabolism > Ketone metabolism
HADHB,MIM,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,MIM,Metabolism > Lipid metabolism > Fatty acid oxidation
HADHB,MIM,Metabolism > Carbohydrate metabolism > Ketone metabolism | Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Lysine metabolism,MIM,Metabolism > Amino acid metabolism > Lysine metabolism
TRIT1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications
TRIT1,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-tRNA modifications | Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications,Matrix,Mitochondrial central dogma > mtRNA metabolism > mt-rRNA modifications
CRLS1,MIM,Metabolism > Lipid metabolism > Cardiolipin synthesis,MIM,Metabolism > Lipid metabolism > Cardiolipin synthesis
GLYCTK,Matrix,Metabolism > Carbohydrate metabolism,Matrix,Metabolism > Carbohydrate metabolism
SLC25A32,MIM,Metabolism > Vitamin metabolism > Vitamin B2 metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Vitamin metabolism > Vitamin B2 metabolism
SLC25A32,MIM,Metabolism > Vitamin metabolism > Vitamin B2 metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > SLC25A family,MIM,Metabolism > Vitamin metabolism > Folate and 1-C metabolism
SLC25A32,MIM,Metabolism > Vitamin metabolism > Vitamin B2 metabolism | Metabolism > Vitamin metabolism > Folate and 1-C metabolism | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
AARS2,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases,Matrix,Mitochondrial central dogma > Translation > mt-tRNA synthetases
EXOG,MIM,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair | Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay,MIM,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication
EXOG,MIM,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair | Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay,MIM,Mitochondrial central dogma > mtDNA maintenance > mtDNA repair
EXOG,MIM,Mitochondrial central dogma > mtDNA maintenance > mtDNA replication | Mitochondrial central dogma > mtDNA maintenance > mtDNA repair | Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay,MIM,Mitochondrial central dogma > mtDNA maintenance > mtDNA stability and decay
CHCHD2,IMS,Mitochondrial dynamics and surveillance > Apoptosis,IMS,Mitochondrial dynamics and surveillance > Apoptosis
KMO,MOM,Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,MOM,Metabolism > Amino acid metabolism > Kynurenine metabolism
KMO,MOM,Metabolism > Amino acid metabolism > Kynurenine metabolism | Metabolism > Metals and cofactors > NAD biosynthesis and metabolism,MOM,Metabolism > Metals and cofactors > NAD biosynthesis and metabolism
SFXN5,MIM,Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > Sideroflexins,MIM,Metabolism > Carbohydrate metabolism > TCA-associated
SFXN5,MIM,Metabolism > Carbohydrate metabolism > TCA-associated | Small molecule transport > Sideroflexins,MIM,Small molecule transport > Sideroflexins
ELAC2,Matrix,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing,Matrix,Mitochondrial central dogma > mtRNA metabolism > Polycistronic mtRNA processing
GPX1,Matrix,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins,Matrix,Metabolism > Detoxification > ROS and glutathione metabolism
GPX1,Matrix,Metabolism > Detoxification > ROS and glutathione metabolism | Metabolism > Detoxification > Selenoproteins,Matrix,Metabolism > Detoxification > Selenoproteins
CPT1B,MOM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,MOM,Metabolism > Lipid metabolism > Fatty acid oxidation
CPT1B,MOM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,MOM,Metabolism > Metals and cofactors > Carnitine synthesis and transport
CPT1B,MOM,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,MOM,Metabolism > Metals and cofactors > Carnitine shuttle
FIS1,MOM,Mitochondrial dynamics and surveillance > Fission,MOM,Mitochondrial dynamics and surveillance > Fission
PRELID1,IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis
PRELID1,IMS,Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Lipid metabolism > Phospholipid metabolism,IMS,Metabolism > Lipid metabolism > Phospholipid metabolism
UCP3,MIM,Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
SLC25A27,MIM,Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
SLC25A40,MIM,Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
SLC25A23,MIM,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,MIM,Metabolism > Nucleotide metabolism > Nucleotide import
SLC25A23,MIM,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,MIM,Signaling > Calcium homeostasis > EF hand proteins
SLC25A23,MIM,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > EF hand proteins | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
HEMK1,Matrix,Mitochondrial central dogma > Translation > Translation factors,Matrix,Mitochondrial central dogma > Translation > Translation factors
SLC25A36,MIM,Metabolism > Nucleotide metabolism > Nucleotide import | Small molecule transport > SLC25A family,MIM,Metabolism > Nucleotide metabolism > Nucleotide import
SLC25A36,MIM,Metabolism > Nucleotide metabolism > Nucleotide import | Small molecule transport > SLC25A family,MIM,Small molecule transport > SLC25A family
OMA1,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Fission",MIM,Protein import
OMA1,MIM,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases | Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Fission",MIM,sorting and homeostasis > Protein homeostasis > Proteases | Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Fission
LETM2,MIM,0,MIM,0
